,Rating,Installs,Type,Price
4465,0.0,0,0,1.4
5307,0.0,0,0,13.9
5486,0.0,0,0,1.9
5945,0.0,0,0,2.9
6692,0.0,0,0,154.9
7434,0.0,0,0,0.0
8081,0.0,0,0,0.0
8614,0.0,0,0,0.0
8871,0.0,0,0,0.0
9148,0.0,0,0,0.0
9337,0.0,0,0,3.9
9719,0.0,0,0,200.0
9905,0.0,0,0,30.9
9917,0.0,0,0,394.9
9934,0.0,0,0,399.9
10472,19.0,0,0,0.0
649,0.0,1,0,0.0
652,0.0,1,0,0.0
2422,0.0,1,0,2.9
2425,0.0,1,0,0.9
2462,0.0,1,0,0.0
2471,0.0,1,0,0.0
4218,0.0,1,0,0.9
4459,0.0,1,0,1.4
4471,0.0,1,0,1.4
4550,0.0,1,0,0.0
5126,0.0,1,0,0.9
5160,0.0,1,0,0.0
5171,0.0,1,0,0.0
5500,0.0,1,0,2.9
5812,0.0,1,0,0.9
5832,0.0,1,0,1.9
5837,0.0,1,0,0.0
5846,0.0,1,0,0.9
5857,0.0,1,0,0.0
5921,0.0,1,0,0.0
6239,0.0,1,0,0.0
6257,0.0,1,0,0.0
6277,0.0,1,0,0.9
6479,0.0,1,0,0.0
6624,0.0,1,0,109.9
6888,0.0,1,0,0.0
6962,0.0,1,0,0.0
7225,0.0,1,0,3.9
7231,0.0,1,0,0.0
7370,0.0,1,0,0.0
7521,0.0,1,0,0.0
7522,0.0,1,0,0.0
7737,0.0,1,0,0.0
8019,0.0,1,0,2.4
8150,0.0,1,0,5.9
8242,0.0,1,0,1.4
8355,0.0,1,0,0.0
8489,0.0,1,0,0.9
8509,0.0,1,0,0.0
8612,0.0,1,0,0.0
8729,0.0,1,0,0.0
8870,0.0,1,0,0.0
8876,0.0,1,0,0.0
9101,0.0,1,0,5.9
9104,0.0,1,0,28.9
9139,0.0,1,0,0.0
9201,0.0,1,0,0.0
9262,0.0,1,0,0.0
9264,0.0,1,0,0.0
9302,0.0,1,0,0.0
9453,0.0,1,0,0.0
9532,0.0,1,0,0.0
9664,0.0,1,0,0.0
10101,0.0,1,0,0.0
10299,0.0,1,0,0.0
10417,0.0,1,0,0.0
10530,0.0,1,0,0.0
10541,0.0,1,0,0.0
10654,0.0,1,0,0.0
10701,0.0,1,0,0.0
10708,0.0,1,0,0.0
10745,0.0,1,0,0.0
10764,0.0,1,0,0.0
10775,0.0,1,0,0.0
2454,5.0,1,0,0.0
5917,5.0,1,0,1.4
10697,5.0,1,0,0.9
659,0.0,5,0,0.0
2465,0.0,5,0,0.0
2469,0.0,5,0,0.0
2474,0.0,5,0,0.0
2478,0.0,5,0,0.0
2483,0.0,5,0,0.0
4134,0.0,5,0,39.9
4451,0.0,5,0,1.4
4543,0.0,5,0,0.0
5124,0.0,5,0,0.0
5256,0.0,5,0,0.0
5262,0.0,5,0,0.0
5264,0.0,5,0,0.0
5480,0.0,5,0,0.9
5510,0.0,5,0,0.0
5753,0.0,5,0,0.0
5800,0.0,5,0,0.0
5855,0.0,5,0,0.0
5924,0.0,5,0,1.9
6138,0.0,5,0,0.0
6337,0.0,5,0,0.0
6345,0.0,5,0,0.0
6389,0.0,5,0,0.9
6399,0.0,5,0,0.0
6437,0.0,5,0,0.0
6473,0.0,5,0,0.0
6670,0.0,5,0,0.0
6809,0.0,5,0,8.9
6890,0.0,5,0,0.0
7160,0.0,5,0,0.0
7176,0.0,5,0,0.0
7182,0.0,5,0,0.0
7184,0.0,5,0,0.0
7190,0.0,5,0,0.0
7234,0.0,5,0,0.0
7335,0.0,5,0,1.9
7390,0.0,5,0,0.9
7494,0.0,5,0,0.0
7526,0.0,5,0,0.0
7712,0.0,5,0,0.0
7732,0.0,5,0,0.0
7790,0.0,5,0,0.0
8079,0.0,5,0,0.0
8109,0.0,5,0,0.0
8119,0.0,5,0,0.0
8151,0.0,5,0,5.9
8345,0.0,5,0,0.0
8354,0.0,5,0,0.0
8565,0.0,5,0,0.9
8578,0.0,5,0,0.0
8605,0.0,5,0,0.0
8839,0.0,5,0,0.0
9206,0.0,5,0,0.9
9306,0.0,5,0,0.0
9417,0.0,5,0,0.0
9460,0.0,5,0,0.0
9931,0.0,5,0,0.0
9964,0.0,5,0,0.0
9993,0.0,5,0,0.0
10000,0.0,5,0,0.0
10085,0.0,5,0,0.0
10090,0.0,5,0,0.0
10094,0.0,5,0,0.0
10104,0.0,5,0,0.0
10169,0.0,5,0,0.0
10534,0.0,5,0,0.0
10542,0.0,5,0,0.0
10553,0.0,5,0,0.0
10555,0.0,5,0,0.0
10559,0.0,5,0,0.0
10567,0.0,5,0,0.0
10657,0.0,5,0,0.0
10669,0.0,5,0,5.9
10562,1.0,5,0,0.0
2450,5.0,5,0,0.0
2459,5.0,5,0,0.0
2484,5.0,5,0,0.0
6700,5.0,5,0,0.0
7147,5.0,5,0,0.0
7731,5.0,5,0,0.0
8146,5.0,5,0,0.0
9218,5.0,5,0,0.0
630,0.0,10,0,0.0
632,0.0,10,0,0.0
635,0.0,10,0,0.0
638,0.0,10,0,0.0
639,0.0,10,0,0.0
644,0.0,10,0,0.0
650,0.0,10,0,0.0
658,0.0,10,0,0.0
660,0.0,10,0,0.0
2424,0.0,10,0,5.9
2433,0.0,10,0,0.0
2434,0.0,10,0,0.0
2437,0.0,10,0,0.0
2440,0.0,10,0,0.0
2443,0.0,10,0,0.0
2449,0.0,10,0,0.0
2451,0.0,10,0,0.0
2453,0.0,10,0,0.0
2460,0.0,10,0,0.0
2461,0.0,10,0,0.0
2466,0.0,10,0,0.0
2467,0.0,10,0,0.0
2468,0.0,10,0,0.0
2480,0.0,10,0,0.0
2485,0.0,10,0,0.0
2516,0.0,10,0,0.0
4137,0.0,10,0,2.4
4139,0.0,10,0,2.0
4177,0.0,10,0,25.9
4265,0.0,10,0,1.9
4457,0.0,10,0,1.4
4462,0.0,10,0,0.9
4489,0.0,10,0,0.9
4546,0.0,10,0,0.0
4551,0.0,10,0,0.0
4565,0.0,10,0,0.0
4848,0.0,10,0,19.9
5023,0.0,10,0,0.0
5100,0.0,10,0,0.0
5111,0.0,10,0,0.0
5127,0.0,10,0,0.0
5166,0.0,10,0,0.0
5174,0.0,10,0,0.0
5231,0.0,10,0,0.0
5234,0.0,10,0,0.0
5240,0.0,10,0,0.0
5247,0.0,10,0,0.0
5265,0.0,10,0,0.9
5266,0.0,10,0,0.0
5269,0.0,10,0,0.9
5296,0.0,10,0,0.0
5298,0.0,10,0,0.0
5302,0.0,10,0,0.0
5497,0.0,10,0,0.0
5499,0.0,10,0,0.0
5508,0.0,10,0,0.0
5511,0.0,10,0,0.0
5750,0.0,10,0,0.0
5771,0.0,10,0,0.0
5798,0.0,10,0,0.0
5804,0.0,10,0,0.9
5834,0.0,10,0,0.9
5835,0.0,10,0,0.0
5843,0.0,10,0,0.0
5845,0.0,10,0,0.0
5851,0.0,10,0,0.0
5854,0.0,10,0,0.0
5942,0.0,10,0,2.9
5951,0.0,10,0,0.0
5977,0.0,10,0,1.4
6011,0.0,10,0,0.0
6118,0.0,10,0,0.0
6151,0.0,10,0,0.0
6154,0.0,10,0,0.0
6157,0.0,10,0,0.0
6174,0.0,10,0,0.0
6179,0.0,10,0,1.4
6190,0.0,10,0,0.0
6199,0.0,10,0,0.0
6225,0.0,10,0,0.0
6229,0.0,10,0,0.0
6230,0.0,10,0,0.0
6240,0.0,10,0,0.0
6243,0.0,10,0,0.0
6258,0.0,10,0,0.0
6291,0.0,10,0,0.0
6292,0.0,10,0,0.9
6328,0.0,10,0,0.0
6336,0.0,10,0,0.0
6339,0.0,10,0,0.0
6377,0.0,10,0,0.0
6430,0.0,10,0,0.0
6444,0.0,10,0,0.0
6445,0.0,10,0,0.0
6470,0.0,10,0,0.0
6481,0.0,10,0,0.0
6483,0.0,10,0,0.0
6508,0.0,10,0,0.9
6519,0.0,10,0,0.0
6545,0.0,10,0,0.0
6559,0.0,10,0,46.9
6613,0.0,10,0,0.0
6671,0.0,10,0,0.0
6696,0.0,10,0,0.0
6710,0.0,10,0,0.0
6732,0.0,10,0,0.9
6750,0.0,10,0,0.0
6755,0.0,10,0,0.0
6801,0.0,10,0,0.0
6808,0.0,10,0,4.8
6818,0.0,10,0,0.0
6821,0.0,10,0,0.0
6826,0.0,10,0,0.0
6831,0.0,10,0,0.0
6842,0.0,10,0,0.0
6844,0.0,10,0,0.0
6869,0.0,10,0,0.0
6872,0.0,10,0,0.0
6873,0.0,10,0,0.0
6878,0.0,10,0,0.0
6917,0.0,10,0,0.0
6932,0.0,10,0,0.0
6938,0.0,10,0,0.0
6940,0.0,10,0,0.0
7047,0.0,10,0,0.0
7049,0.0,10,0,0.0
7084,0.0,10,0,0.0
7092,0.0,10,0,0.0
7116,0.0,10,0,0.0
7129,0.0,10,0,0.0
7135,0.0,10,0,0.0
7140,0.0,10,0,0.0
7153,0.0,10,0,0.0
7163,0.0,10,0,0.0
7168,0.0,10,0,0.0
7230,0.0,10,0,0.0
7255,0.0,10,0,2.9
7257,0.0,10,0,0.0
7274,0.0,10,0,0.0
7311,0.0,10,0,0.0
7342,0.0,10,0,1.9
7346,0.0,10,0,1.9
7376,0.0,10,0,0.0
7380,0.0,10,0,0.0
7384,0.0,10,0,0.9
7394,0.0,10,0,0.0
7400,0.0,10,0,0.0
7432,0.0,10,0,0.0
7440,0.0,10,0,0.0
7445,0.0,10,0,0.0
7447,0.0,10,0,0.0
7485,0.0,10,0,0.0
7486,0.0,10,0,0.0
7493,0.0,10,0,0.0
7503,0.0,10,0,0.0
7504,0.0,10,0,0.9
7505,0.0,10,0,0.0
7528,0.0,10,0,0.0
7529,0.0,10,0,0.0
7531,0.0,10,0,0.0
7581,0.0,10,0,0.0
7681,0.0,10,0,0.0
7694,0.0,10,0,0.0
7726,0.0,10,0,0.0
7730,0.0,10,0,0.9
7735,0.0,10,0,0.0
7745,0.0,10,0,1.4
7748,0.0,10,0,0.0
7832,0.0,10,0,0.9
7862,0.0,10,0,0.9
7994,0.0,10,0,0.0
8007,0.0,10,0,0.0
8017,0.0,10,0,2.4
8057,0.0,10,0,0.0
8065,0.0,10,0,0.0
8105,0.0,10,0,0.0
8106,0.0,10,0,0.0
8113,0.0,10,0,0.0
8114,0.0,10,0,0.0
8137,0.0,10,0,5.9
8139,0.0,10,0,5.9
8140,0.0,10,0,5.9
8145,0.0,10,0,5.4
8147,0.0,10,0,0.0
8154,0.0,10,0,0.0
8161,0.0,10,0,0.9
8225,0.0,10,0,0.9
8232,0.0,10,0,0.0
8328,0.0,10,0,29.9
8342,0.0,10,0,0.0
8346,0.0,10,0,2.9
8348,0.0,10,0,2.9
8349,0.0,10,0,0.0
8356,0.0,10,0,0.0
8389,0.0,10,0,0.0
8495,0.0,10,0,0.0
8510,0.0,10,0,0.0
8556,0.0,10,0,0.0
8566,0.0,10,0,0.0
8579,0.0,10,0,0.0
8580,0.0,10,0,0.0
8583,0.0,10,0,0.0
8597,0.0,10,0,0.0
8600,0.0,10,0,2.9
8606,0.0,10,0,0.0
8607,0.0,10,0,0.0
8831,0.0,10,0,0.0
8842,0.0,10,0,0.0
8868,0.0,10,0,0.0
8872,0.0,10,0,0.0
8882,0.0,10,0,0.0
8969,0.0,10,0,0.0
8988,0.0,10,0,0.0
9004,0.0,10,0,0.0
9014,0.0,10,0,0.0
9015,0.0,10,0,0.0
9021,0.0,10,0,0.0
9052,0.0,10,0,0.0
9058,0.0,10,0,0.9
9074,0.0,10,0,0.0
9096,0.0,10,0,0.9
9113,0.0,10,0,0.0
9136,0.0,10,0,0.0
9137,0.0,10,0,0.0
9190,0.0,10,0,0.0
9198,0.0,10,0,0.0
9199,0.0,10,0,0.0
9209,0.0,10,0,0.0
9210,0.0,10,0,0.0
9231,0.0,10,0,0.0
9252,0.0,10,0,0.0
9261,0.0,10,0,0.0
9329,0.0,10,0,0.0
9333,0.0,10,0,0.0
9412,0.0,10,0,0.0
9418,0.0,10,0,0.0
9419,0.0,10,0,0.0
9431,0.0,10,0,0.0
9509,0.0,10,0,0.0
9514,0.0,10,0,0.0
9648,0.0,10,0,0.0
9651,0.0,10,0,0.0
9653,0.0,10,0,0.0
9656,0.0,10,0,0.0
9658,0.0,10,0,0.0
9660,0.0,10,0,0.0
9662,0.0,10,0,0.0
9666,0.0,10,0,0.0
9698,0.0,10,0,0.0
9713,0.0,10,0,0.0
9714,0.0,10,0,0.0
9730,0.0,10,0,89.9
9907,0.0,10,0,0.0
9910,0.0,10,0,3.6
9915,0.0,10,0,0.0
9924,0.0,10,0,0.0
9925,0.0,10,0,0.0
9928,0.0,10,0,0.0
9929,0.0,10,0,0.0
9938,0.0,10,0,0.0
9956,0.0,10,0,0.0
9990,0.0,10,0,0.0
9997,0.0,10,0,0.0
10002,0.0,10,0,0.0
10004,0.0,10,0,0.0
10007,0.0,10,0,0.0
10009,0.0,10,0,0.0
10099,0.0,10,0,0.0
10105,0.0,10,0,0.0
10106,0.0,10,0,0.0
10187,0.0,10,0,0.0
10329,0.0,10,0,0.0
10347,0.0,10,0,0.0
10356,0.0,10,0,0.0
10364,0.0,10,0,0.0
10366,0.0,10,0,0.0
10367,0.0,10,0,0.0
10377,0.0,10,0,0.0
10399,0.0,10,0,0.0
10510,0.0,10,0,0.0
10519,0.0,10,0,0.0
10524,0.0,10,0,0.0
10525,0.0,10,0,0.0
10528,0.0,10,0,0.0
10533,0.0,10,0,0.0
10539,0.0,10,0,0.0
10544,0.0,10,0,0.0
10545,0.0,10,0,0.0
10547,0.0,10,0,0.0
10548,0.0,10,0,0.0
10550,0.0,10,0,0.0
10551,0.0,10,0,0.0
10557,0.0,10,0,0.0
10560,0.0,10,0,0.0
10561,0.0,10,0,0.0
10563,0.0,10,0,0.0
10565,0.0,10,0,0.0
10605,0.0,10,0,0.0
10612,0.0,10,0,0.0
10625,0.0,10,0,0.0
10650,0.0,10,0,5.4
10651,0.0,10,0,6.4
10658,0.0,10,0,0.0
10660,0.0,10,0,0.0
10661,0.0,10,0,5.9
10662,0.0,10,0,6.4
10664,0.0,10,0,6.4
10668,0.0,10,0,6.4
10670,0.0,10,0,0.0
10672,0.0,10,0,0.0
10674,0.0,10,0,5.4
10748,0.0,10,0,0.0
10762,0.0,10,0,0.0
10773,0.0,10,0,0.0
10774,0.0,10,0,0.0
10822,0.0,10,0,0.0
10835,0.0,10,0,0.0
625,1.0,10,0,0.0
4127,1.0,10,0,2.9
5803,3.0,10,0,0.0
6870,3.0,10,0,0.0
8236,3.0,10,0,3.4
8376,3.0,10,0,2.4
10325,3.0,10,0,0.0
2482,4.0,10,0,0.0
5466,4.0,10,0,2.9
6046,4.0,10,0,0.0
6183,4.0,10,0,0.0
6413,4.0,10,0,14.9
6493,4.0,10,0,0.0
6921,4.0,10,0,0.0
7044,4.0,10,0,0.0
7475,4.0,10,0,0.0
7727,4.0,10,0,0.0
8494,4.0,10,0,0.0
8497,4.0,10,0,0.0
8845,4.0,10,0,4.9
9078,4.0,10,0,0.0
2445,5.0,10,0,0.0
2457,5.0,10,0,0.0
2458,5.0,10,0,0.0
2472,5.0,10,0,0.0
2477,5.0,10,0,0.0
4988,5.0,10,0,0.9
5245,5.0,10,0,0.0
5246,5.0,10,0,4.9
